20260113,1,1,-12.049123748306675,-77.12924252944133
20260113,1,1,-12.069116446419565,-77.12674328220051
20260113,1,1,-12.183893981902374,-76.92998907966002
20260113,1,1,-12.027823510399724,-77.03744060260658
20260113,1,1,-11.876048447351232,-77.02151509779196
20260112,1,1,-11.972300735714285,-77.00728444179225
20260112,1,1,-11.973401791494307,-77.0069157301661
20260111,1,1,-12.053250882487937,-77.1181216280391
20260111,1,1,-12.151872726788454,-76.98228385786446
20260110,1,1,-12.146461023694137,-77.01765167501215
20260110,1,1,-12.04234873130056,-77.11805608009348
20260110,1,1,-12.175339203412577,-76.96501101908646
20260109,1,1,-11.930068790709656,-77.05140156899436
20260109,1,1,-12.068836736790113,-77.12678757029276
20260109,1,1,-12.073836621949823,-77.11454034292984
20260108,1,1,-11.997525041823888,-77.10796359678244
20260108,1,1,-11.989412347175643,-77.11345848970701
20260108,1,1,-12.042769402729173,-76.9994211027922
20260107,1,1,-11.896512947198227,-77.04065032092076
20260107,1,1,-11.86586175519661,-77.08216030810027
20260106,1,1,-12.029495306821905,-76.88541798602824
20260106,1,1,-11.858795967260932,-77.0367984443012
20260106,1,1,-12.190665040261587,-76.93466880509554
20260105,1,1,-11.853053993551491,-77.11934956146453
20260105,1,1,-11.816267510842577,-77.1638548800812
20260104,1,1,-11.85646010956129,-77.01465659135481
20260104,1,1,-11.979077309719738,-76.98881725131017
20260104,1,1,-12.017817985923502,-76.82354367422153
20260103,1,1,-11.953101730633692,-76.99322975677646
20260103,1,1,-11.959613332997273,-77.00416417478061
20260103,1,1,-11.973199665681085,-76.98542491289966
20260102,1,1,-12.042402972899383,-76.95725290105372
20260102,1,1,-12.182233682791395,-76.92832942120607
20260101,1,1,-12.21534645019002,-76.93489889162511
20260101,1,1,-12.212067034837643,-76.92451163890819
20260101,1,1,-12.219457115154672,-76.9365793692543
